Title,Poet,text,ctext,Language
"Usne Kaha Tha
","Bhagwati Charan Verma
","उसने कहा था—  
""तुम मेरे साथ चलो,  
सपनों की राहों पर,  
जहाँ फूल खिलते हैं,  
जहाँ धूप की सौगात होती है।  

रात की चादर तले,  
हम सितारों से बातें करेंगे,  
तुम्हारे दर्द की हर लहर,  
मुझे अपनी बाँहों में बाँध लेगी।""  
","She said—  
""Walk with me,  
On paths of dreams,  
Where flowers bloom,  
Where sunlight gleams.  

Under the cover of night,  
We’ll talk to the stars so bright,  
And every wave of your pain,  
Will embrace me tight once again.""  
",Hindi
"Badal Ko Ghirte Dekha Hai
","Harivansh Rai Bachchan
","बादल को गिरते देखा है,  
मैंने ओढ़े हुए ताज को,  
अंधकार में चमकते हुए,  
तारों की बातों को सुना है।  

मौसम के रुख को बदलते,  
धरती की काया में हलचल,  
प्रेम की उमंग में बहे,  
सपनों की गहराई में डूबा है।  
","I have seen clouds gather,  
Wearing their crown of darkness,  
I have heard the whispers of stars,  
Shining through the night's vastness.  

Changing the course of the seasons,  
Stirring the earth with their might,  
Flowing with the thrill of love,  
Drowning deep in dreams’ light.  
",Hindi
"Patthar Aur Paathar
","Dushyant Kumar
","पत्थर और पत्थर के बीच,  
एक रास्ता था कभी,  
जगह-जगह पर पड़ी थी,  
किसी के लिए एक कहानी।  

पत्थर पर पत्थर का साया,  
कभी हुआ करते थे सहारा,  
अब खामोशी में खो गए हैं,  
सिर्फ चुप्पी रह गई है यारा।  
","Between stone and stone,  
There was once a path,  
Scattered everywhere,  
A story for someone to grasp.  

The shadow of stone on stone,  
Once offered a comforting embrace,  
Now lost in silence's hold,  
Only the hush remains in this place.  
",Hindi
"Koshish
","Kumar Vishwas
","कोशिश करने वालों की हार नहीं होती,  
दुनिया की हर मुश्किल से पार नहीं होती।  
हर पत्थर को चीर कर निकलता है पानी,  
क्योंकि कोशिश करने वालों की हार नहीं होती।  

आसमान में उड़ान भरने का साहस रखो,  
सपनों को साकार करने का हौसला रखो।  
हर असंभव को संभव में बदल दो,  
क्योंकि कोशिश करने वालों की हार नहीं होती।  
","Those who strive never lose,  
No obstacle in the world can refuse.  
Every stone is pierced by flowing streams,  
Because those who strive never lose their dreams.  

Have the courage to soar in the sky,  
Keep the spirit to make dreams fly high.  
Turn every impossible into possible embrace,  
Because those who strive never lose their place.  
",Hindi
"Bhoomi Geet
","Mahadevi Verma
","धरती की गोद में,  
है जीवन की आधार,  
हर कण में बसी है,  
प्रेम की अपार साज़।  

हरियाली की चादर,  
बिछी है चारों ओर,  
बच्चों की हंसी में,  
बसी है उसका जोर।  

तूने दिया हर रंग,  
हर सुख और हर दुख,  
धरती, तेरा गीत है,  
मेरे दिल की धड़कन।  
","In the lap of the earth,  
Lies the essence of life,  
In every grain resides,  
A melody of love rife.  

A blanket of greenery,  
Spread far and wide,  
In the laughter of children,  
Your spirit does abide.  

You’ve given every hue,  
Every joy and every strife,  
O Earth, your song is,  
The heartbeat of my life.  
",Hindi
"Dhoop
","Kedarnath Singh
","दोपहर की धूप में,  
बड़ी सर्दी है।  
गर्मी का एहसास,  
सिर से लेकर पांवों तक।  

सूरज ने किया है,  
हमारे सपनों का सफर।  
नंगे पांव चलते हैं,  
खुद को पहचानते हैं।  

धूप में जलतीं हैं,  
छायाएँ गहरे दरख्तों की।  
हम भी जलते हैं,  
पर अपने ही गीत गाते हैं।  
","In the noon sunlight,  
There’s a great chill.  
The warmth feels,  
From head to toes.  

The sun has made,  
The journey of our dreams.  
We walk barefoot,  
Recognizing ourselves.  

Shadows of deep trees,  
Burn in the sunlight.  
We too burn,  
Yet sing our own songs.  
",Hindi
"Naadiyon Ka Saath
","Muktibodh
","नदियों का साथ,  
मिट्टी की खुशबू,  
हवा में लहराते,  
पत्तों की बातें।  

गहराई में छिपे हैं,  
सपनों के रास्ते,  
बहे जा रही हैं,  
जिंदगी की धाराएं।  

हर मोड़ पर एक कहानी,  
हर तट पर एक गीत,  
नदियों का साथ,  
जिंदगी का अभिषेक।  
","The company of rivers,  
The fragrance of soil,  
Waving in the air,  
Whispers of leaves.  

Deep within, are hidden,  
Paths of dreams,  
Flowing along,  
The currents of life.  

At every bend a story,  
At every shore a song,  
The company of rivers,  
Is the anointment of life.  
",Hindi
"Paheli
",Gulzar,"कौन हूँ मैं, क्या हूँ मैं?  
सिर्फ एक सवाल, एक पहेली।  
दिल की धड़कन में छुपा,  
हर लम्हा, हर तन्हाई में।

खुद से बातें करती,  
हर एक धड़कन की सदा।  
कोई ना जाने इसका जवाब,  
सिर्फ मेरे साथ है ये।

कभी लगता है जैसे,  
मैं हूं या तुम हो?  
","Who am I, what am I?  
Just a question, a riddle.  
Hidden in the heartbeat,  
In every moment, in every solitude.

Talking to myself,  
The echo of each heartbeat.  
No one knows its answer,  
It simply exists with me.
",Hindi
"Chand Se Mukhde Pe
","Suryakant Tripathi 'Nirala'
","चाँद से मुखड़े पे,  
सूरज की किरणों की छाँव।  
तुम्हारी मुस्कान में,  
हर शाम का नज़ारा है।

नज़रों में बसती हो तुम,  
दिल के हर कोने में।  
सपनों का साया हो तुम,  
मेरे हृदय की रानी हो तुम।
","On the face like the moon,  
In the shade of the sun's rays.  
In your smile,  
There is the view of every evening.

You reside in my eyes,  
In every corner of my heart.  
You are the shadow of dreams,  
You are the queen of my heart.
",Hindi
"Hawa Mein Udata Chala Gaya
","Niranjan Mohanty
","हवा में उड़ता चला गया,  
खुद को मैं खोता चला गया।  
दरिया की लहरों पर जैसे,  
आसमान से बातें करता चला गया।  

हवा की तरंगों ने बाँहों में,  
मुझे थामे रखा ऐसे,  
जैसे किसी का सहारा पाकर,  
मैं खुद को पाता चला गया।
","I floated in the air,  
Losing myself along the way.  
Like waves upon a river,  
I spoke with the sky all day.  

The waves of the breeze embraced me,  
Holding me close like a friend,  
As though finding support from someone,  
I found myself again.
",Hindi
"Dil Dhoondta Hai
","Gulzar
","दिल ढूँढता है फिर वही फुर्सत के रात दिन,  
बैठे रहें तसव्वुर-ए-जानां किए हुए।  
वो वादियों में खोया रहे दूर तक सफर,  
और हम हवाओं में घुलते हुए जाएँ।  

कभी तो नींद में भी, चलते रहें ये पाँव,  
बस ख्वाबों की राह पर चलते जाएँ।  
दिल ढूँढता है फिर वही फुर्सत के रात दिन,  
बैठे रहें तसव्वुर-ए-जानां किए हुए।
","The heart seeks again those days and nights of leisure,  
To sit and dream of a beloved’s face at pleasure.  
Wandering valleys lost in a distant trail,  
As we blend into the breeze, frail and pale.  

Sometimes, even in sleep, these feet would walk on,  
Journeying only on paths that dreams have drawn.  
The heart seeks again those days and nights of leisure,  
To sit and dream of a beloved’s face at pleasure.
",Hindi
"Tumhare Haath Ki Chudiyan
","Rajnish Mishra
","तुम्हारे हाथ की चूड़ियाँ जब छनकती हैं,  
जैसे कोई गीत हवा में बहकता है।  
उनकी खनक में जैसे कोई रंग बिखरता है,  
जैसे कोई सपना नींदों में उतरता है।  

उनके हर रंग में तुम्हारी हँसी की झलक है,  
हर छनक में जैसे दिल की कोई कसक है।  
तुम्हारे हाथ की चूड़ियाँ जब छनकती हैं,  
जैसे कोई गीत हवा में बहकता है।
","When the bangles on your hands chime,  
It's as if a song sways in the air, in time.  
In their sound, colors scatter like dreams,  
As if a vision descends in quiet streams.  

Each hue reflects a glimpse of your laughter,  
Each chime holds a yearning that lingers after.  
When the bangles on your hands chime,  
It's as if a song sways in the air, in time.
",Hindi
"Sham Ka Pahar
","Nirmal Verma
","शाम का पहर, धुंधली रोशनी का आलम,  
हर ओर एक खामोशी, एक सूनापन।  
जैसे हवा ने थाम ली हो अपनी चाल,  
जैसे वक्त ठहर गया हो इस हाल।  

बिखरे हैं रंग आसमान पर कहीं-कहीं,  
हर रंग में छुपा है एक अधूरापन कहीं।  
शाम का पहर, एक अनकही दास्तां,  
जैसे कोई इंतजार कर रहा हो वहां।
","The hour of evening, a realm of dim light,  
Silence everywhere, an emptiness in sight.  
As if the wind has halted its flow,  
As if time stands still, moving slow.  

Colors scattered across the sky,  
In each shade, an incompleteness lies.  
Evening’s hour, a story untold,  
As if someone waits there, silent and cold.
",Hindi
"Ankahi Baat
","Sahitya Akademi
","अनकही बातें, जो दिल में कहीं छुपी हैं,  
उनमें एक गहराई, जैसे कोई चुप्पी है।  
शब्दों के परे, अनकहा एहसास,  
जैसे हवा में बसी हो कोई प्यास।  

वो बातें, जो कभी होठों तक नहीं आईं,  
जिन्हें सिर्फ दिल की धड़कन ने सुनी और गाई।  
अनकही बातें, एक अधूरी चाह,  
जैसे धुंध में छुपा हो कोई राह।
","Unspoken words, hidden deep within,  
With a depth, like silence akin.  
Beyond words, a feeling unvoiced,  
As if in the air, a thirst poised.  

Those words that never reached the lips,  
Heard only by the heartbeat’s trips.  
Unspoken words, an incomplete desire,  
Like a path concealed in mist’s attire.
",Hindi
"Shabnam
","Amitabh Bachchan
","शबनम की बूँदें, जैसे कोई सपना,  
पत्तों पे बिखरी, न जाने कब का अपना।  
सवेरे की किरणों में मोती सी चमके,  
नन्हीं बूँदें जैसे रात की कोई बात कहें।  

फूलों के आँचल पर सजी एक नमी,  
जैसे कोई कहानी हो ठहरी हुई सी।  
शबनम की इस मासूम सच्चाई में,  
छुपा है जीवन का एक छोटा सा आईना।
","Drops of dew, like a dream surreal,  
Scattered on leaves, with a timeless appeal.  
In morning rays, they gleam like pearls,  
As if telling stories of the night's swirls.  

A tender mist on petals lain,  
Like a tale softly frozen, without pain.  
In the innocence of this gentle dew,  
Lies a mirror to life, simple and true.
",Hindi
"Sapne
","Dushyant Kumar
","सपने जो हमने देखे थे,  
चुपचाप से रह गए हैं।  
किसी सुबह की धूप में,  
बिखरकर बह गए हैं।  

वो चाहतें जो हमने चाही थीं,  
अनकही सी रह गईं।  
हवाओं के साथ कहीं,  
धीरे से बह गईं।
","The dreams we once dreamed,  
Now silently remain.  
In the sunlight of some dawn,  
Scattered, drifted like rain.  

Those desires we once desired,  
Left unsaid, incomplete.  
With the winds, somewhere,  
They softly went in retreat.
",Hindi
"Nadiya
","Mahadevi Verma
","ओ नदिया, तू क्यों बहती है?  
सागर से मिलकर क्या कहती है?  
तेरे जल में कितने सपने,  
धाराओं में बंधे अनगिनत रत्न।

हर किनारा छोड़-छोड़ कर,  
नये मार्ग पर तू चलती है।  
अपने अंत की खोज में,  
तू हर क्षण आगे बढ़ती है।
","O river, why do you flow?  
What secrets do you share with the sea?  
In your waters lie countless dreams,  
Endless gems bound in your streams.

Leaving each shore behind,  
You forge new paths unknown.  
In search of your destined end,  
You move forward, alone.
",Hindi
"Maut Se Dosti
","Friendship with Death
","मौत से मेरी दोस्ती पुरानी है,  
वो हर मोड़ पर मेरे साथ है,  
जिंदगी के हर पड़ाव पर,  
उसकी परछाई का एहसास है।  

जब भी मैं गिरा हूँ,  
वो हाथ पकड़ने आई है,  
मौत मेरी दोस्त है,  
जो मुझसे मिलने आई है।
","My friendship with death is old,  
She accompanies me at every turn,  
At every stage of life,  
Her shadow is felt, firm.

Whenever I have fallen,  
She has come to hold my hand,  
Death is my friend,  
Who comes to understand.
",Hindi
"Kahin Door Jab Din Dhal Jaaye
","Gulzar
","कहीं दूर जब दिन ढल जाए,  
साँझ की चादर ताने,  
चाँद की चाँदनी बिछ जाए,  
दिल में एक दबी सी आवाज़ आए।  

बातों की लहरें उठेंगी,  
सपनों के रंग बिखरेंगे,  
तुम आना, तुम आना,  
तुम्हारी यादें बसा लेंगी।  
","When the day fades away somewhere far,  
Draped in the evening's veil,  
Moonlight will spread its charm,  
A soft voice will rise in the heart.

Waves of conversation will rise,  
Colors of dreams will scatter,  
You must come, you must come,  
Your memories will settle in.
",Hindi
"Tumhare Aangan Mein
","Vinod Kumar Shukla
","तुम्हारे आँगन में  
रंग बिखरे हैं,  
फूलों की खुशबू से  
सारा वातावरण महका है।  

चिड़ियों की चहचहाहट  
हर सुबह की रौनक है,  
तुम्हारे आँगन में  
जीवन का उत्सव है।  
","In your courtyard,  
Colors are scattered,  
The atmosphere is fragrant  
With the scent of flowers.

The chirping of birds  
Is the charm of every morning,  
In your courtyard,  
Life is a celebration.
",Hindi
"Baal Konya
","Shivani
","बाल कोन्या,  
चाँद के जैसा मुखड़ा,  
चमकती आँखें,  
नटखट हँसी।  

कभी देखी तुमने,  
उसकी किलकारी,  
फूलों की तरह खिलती,  
जीवन की कहानी।  
","The young girl,  
With a face like the moon,  
Shining eyes,  
Mischievous laughter.

Have you ever seen  
Her playful joy,  
Blooming like flowers,  
The story of life.
",Hindi
"Aankh Ki Shami
","Maya Angelou
","आँख की शमी,  
देखने की शक्ति,  
सभी रंगों का जादू,  
दिल में बसी एक कहानी।  

वो जो देखती है,  
दूर तक फैली हर चीज,  
अपने भीतर छुपाए,  
जज़्बातों की लहर।  
","The gaze of the eye,  
The power of seeing,  
The magic of all colors,  
A story nestled in the heart.

She who sees,  
Everything spread far and wide,  
Hiding within,  
Waves of emotions.
",Hindi
"Jaane Wale Saanp
","Rajesh Ranjan
","जाने वाले सांप,  
तेरी रफ्तार की चाल,  
धरती को छोड़ कर,  
आसमान को क्यों तकता है?

तेरी फुंकार में,  
जाने कितनी कहानियाँ,  
जहरीली सांसों में,  
कैसी अनसुनी सदाएँ।  
","Departing snake,  
With the pace of your stride,  
Leaving the earth,  
Why do you gaze at the sky?

In your hiss,  
So many stories untold,  
In your venomous breaths,  
What unheard calls reside.
",Hindi
"Bhanwar
","Amitabh Bachchan
","बेवजह बहते पानी में,  
कैसा यह भंवर पड़ा है,  
अंत तक जाते-जाते,  
हर धार घबराया है।  

गहराई का अंदाज़ा नहीं,  
न कोई किनारा पास,  
बस एक मोड़ से दूसरे तक,  
चक्कर खाता रहता है।  
","In the aimless flowing waters,  
What whirlpool has formed,  
By the journey’s end,  
Every stream is alarmed.  

The depth is unfathomable,  
No shore close by,  
Just circling from turn to turn,  
Underneath the open sky.
",Hindi
"Parvat Pe Shikhar
","Nirala
","परवत की ऊंची चोटी पर,  
सूरज की पहली किरण बसी,  
एक नया आलोक हुआ,  
धरती ने आँखों में नमी भरी।  

धूप और छांव का खेल वहाँ,  
नभ में उठती श्वास धरा की,  
अनंत की ओर झुकते हुए,  
मन में एक शांति पसी।  
","On the high mountain peak,  
The first ray of the sun rests,  
A new light unfolds,  
Earth fills with a mist of zest.

A play of sun and shadow there,  
Breath of earth rising to the sky,  
Leaning towards the infinite,  
A quiet peace slips by.
",Hindi
"Main Kya Karoon
","Harivansh Rai Bachchan
","मैं क्या करूँ, मैं क्या करूँ,  
दिल को कहाँ ले जाऊँ मैं,  
हर ओर दिखती है राहें,  
पर मंजिल नज़र नहीं आती।

दर्द की एक मूरत बना हूँ,  
आस की रेखा मिटा हूँ,  
किसी के पास क्यों जाऊँ मैं,  
किसी को पास क्यों बुलाऊँ मैं।  
","What should I do, what should I do,  
Where shall I take my heart anew?  
Paths appear in every direction,  
Yet the destination evades view.

I am a statue carved of pain,  
A line of hope wiped again,  
Why should I go to someone near,  
Why should I call someone here?  
",Hindi
"Sabse Bada Shor
","Suryakant Tripathi 'Nirala'
","सबसे बड़ा शोर है यह,  
शांति का अनमोल स्वर है यह।  
भीड़ में खो गई हैं आवाज़ें,  
ख़ामोशी में बसी हैं अनगिनत गूंजें।  

खुद में डूबे रहते सब,  
भीतर के शोर को नहीं सुन पाते।  
विचारों की इस बाढ़ में,  
दिल की बातें कहीं दब जातीं।  
","This is the greatest noise,  
A precious sound of silence, a voice.  
Lost in the crowd are the calls,  
Infinite echoes reside in quiet halls.

Everyone is lost within themselves,  
Unable to hear the clamor inside.  
In this flood of thoughts so deep,  
The heart's words get buried and hide.  
",Hindi
"Koi To Aayega
","Gulzar
","कोई तो आएगा, सब कुछ बदल जाएगा,  
खुदा का बाशिंदा या इंसान का साया,  
राहों में कहीं एक हमसफर आएगा।

धूप के उस पार, अंधेरों के बाद,  
एक सपना बनके कोई तो आएगा।  
जो थाम लेगा हाथ, और फिर साथ निभाएगा,  
कोई तो आएगा, कोई तो आएगा।
","Someone will come, and everything will change,  
A servant of God, or the shadow of a man,  
Somewhere along the path, a companion will come.

Beyond the sunlight, after the dark,  
As a dream, someone will come.  
Who will hold my hand, and walk along,  
Someone will come, someone will come.  
",Hindi
"Bachpan
","Agyeya
","बचपन की वो मासूम गलियाँ,  
जहाँ हर सपना सच्चा लगता था,  
वो बेफिक्र हंसी, वो खिलखिलाते दिन,  
हर शाम का वो प्यारा सा ढलना।

वो मिट्टी के घरौंदे, वो खेल-खिलौने,  
जिनमें छोटी सी दुनिया समाई थी,  
हर रोज़ का नया साहस, नई कहानी,  
और हर खुशी बस यूँ ही पाई थी।  
","The innocent streets of childhood,  
Where every dream felt real,  
That carefree laughter, those joyous days,  
And the gentle fading of every evening.

Those mud houses, those toys,  
In which a small world was held,  
Each day brought new courage, a new story,  
And every joy was simply found.  
",Hindi
"Chhaya
","Keki N. Daruwalla
","छाया की बातें हैं, वो छुप जाती है,  
हर धूप से डरती है, हर नज़र से भागती है,  
कभी लंबी, कभी छोटी,  
हर पल बदलती रहती है।

जो पास है पर फिर भी दूर,  
जो सदा संग है पर फिर भी अकेली,  
छाया, जो खुद में एक रहस्य है,  
अपने आप में ही एक कहानी कहती है।  
","These are the tales of the shadow, it hides away,  
Fearing every light, escaping every gaze,  
Sometimes long, sometimes short,  
Changing with every passing moment.

Close yet distant,  
Always there, yet ever alone,  
The shadow, a mystery unto itself,  
Telling a story within its silence.  
",Hindi
Raat Ka Nasha,"Nirmal Verma
","रात का नशा घुलता है हवाओं में,  
तारे झपकते हैं आसमान की गोद में,  
सन्नाटा धीरे-धीरे बुनता है कहानियाँ,  
और चाँदनी फैलाती है अपने पंख।

हर परछाई में छुपा है एक रहस्य,  
हर लहराती हवा में कुछ अनकहा,  
रात की ये खामोशी, ये नशा,  
खुद में समेटे है अनगिनत अहसास।  
","The intoxication of night dissolves into the breeze,  
Stars blink within the sky’s embrace,  
Silence slowly weaves stories,  
And the moonlight spreads its wings.

In every shadow lies a mystery,  
In every swaying breeze, something unsaid,  
This quiet of the night, this intoxication,  
Holds countless emotions within itself.  
",Hindi
"Sagar Ki Lehar
","Kusumagraj
","सागर की लहर, शोर मचाती,  
किनारे से टकरा कर लौटती जाती,  
अपनी धुन में मस्त,  
हर बार नया गीत गाती।

चाहती है छूना आसमान को,  
पर लौट आती है सागर में,  
सागर की लहर है वो,  
अधूरी पर पूरी सी लगती है।  
","The wave of the ocean, roaring aloud,  
Crashing against the shore, returning proud,  
Lost in its rhythm,  
Each time singing a new hymn.

It longs to touch the sky above,  
But returns to the ocean it loves,  
It’s the wave of the sea,  
Incomplete yet so complete to be.  
",Hindi
"Rang Manch
",Ajneya,"रंग मंच पर खेलते हैं चेहरे,  
कभी हंसते हैं, कभी रोते हैं,  
जीवन के रंगों से भरपूर,  
हर भावना को वो दर्शाते हैं।  

छाया है पर्दा, धुंधली रोशनी,  
सपनों की दुनिया में खोई हुई,  
इस रंगमंच पर सब कुछ संभव,  
हर कहानी है यहाँ अद्भुत।  
","Faces play upon the stage,  
Sometimes laughing, sometimes in rage,  
Filled with the colors of life,  
Portraying every feeling, every strife.

A curtain falls, dim lights glow,  
Lost in a world where dreams flow,  
On this stage, all is possible,  
Every story here is remarkable.  
",Hindi
"Tumhare Saath
","Bharat Bhushan
","तुम्हारे साथ हर राह खूबसूरत है,  
हर सुबह एक नया सपना है,  
तुम्हारे बिना अधूरी सी है जिंदगी,  
तुम ही हो मेरे जीवन का सारा सहरा है।  

तेरे संग बिताए हर पल,  
दिल में बसी हो जैसे हलचल,  
संग तुम्हारे हो जाता हूं खुश,  
तुम हो मेरी धड़कन, तुम हो मेरा अस्तित्व।  
","With you, every path is beautiful,  
Every morning brings a new dream,  
Without you, life feels incomplete,  
You are the entire desert of my being.

Every moment spent with you,  
In my heart, a stir like the morning dew,  
With you, I find joy in my heart's rush,  
You are my heartbeat, you are my existence.  
",Hindi
"Badal Ko Ghirte Dekha Hai
","Mahadevi Verma
","बादल को घिरते देखा है,
सूनापन आकाश का सहसा सहकर नीचे देखा है।

अंबर पर घिर कर छा जाना,
मन को बहुत भाता है;
बिजली का चमकना, इठलाना,
मुझे बहुत सुहाता है।

मुझ पर भीगी दृष्टि से
वह कुछ कहना चाहता है,
बादल को घिरते देखा है।

मौन प्रकृति उस दृष्टि में अपने सपने सजाती है,
नींद नहीं, अपने वपु का रंग-रूप सब दिखलाती है।
मधुर-मधुर मेरे दीपक-जल में,
वह सजनी है, मृदु है, मयूर सा।

उसे इस रूप में देखा है।
","I have seen the clouds gather,
Borne the emptiness of the sky, looking down below.

How enchanting is it when clouds spread and hover,
The lightning’s gleam, its playful stride,
Fills my heart with delight.

With its gentle gaze upon me,
It wants to say something, I know,
I have seen the clouds gather.

In that silent nature, it weaves dreams anew,
No sleep, but a vision of its form and hue.
In the soft glow of my quiet lamp,
She is the muse, tender, like a peacock.

I have seen her in this form.
",Hindi
"Kuchh Aur
","Agyeya
","कुछ और भी है इस जीवन में,
सिर्फ जीने मरने के सिवा,
सिर्फ धूप छाँव के खेल के सिवा,
कुछ और भी है इस जीवन में।

यह जीवन, कुछ और भी है।
कहीं एक गहरा सागर है,
कहीं एक अनजाना भँवर है,
कहीं एक डूबती साँझ है,
कहीं एक चुप्पी के साथ लहरें हैं।

कुछ और भी है इस जीवन में,
सिर्फ सुबह और शाम के सिवा।
","There is something else in this life,
Beyond just living and dying,
Beyond the games of sun and shadow,
There is something more in this life.

This life, there is something else.
Somewhere, there is a deep ocean,
Somewhere, an unknown whirlpool,
Somewhere, a sinking dusk,
Somewhere, waves with silence.

There is something else in this life,
Beyond just morning and evening.
",Hindi
"Patthar Ki Pukaar
","Shivmangal Singh Suman
","पत्थर बोल उठे जब सन्नाटे टूट गए,
चट्टानों के सीने में दफन आवाजें फूट गईं।

पुकारती हैं सदियों की निशानियाँ,
इन पत्थरों की चुप्पी में गूँज रही कहानियाँ।

पानी की बूंदें गिरती, संग उठती हैं लहरें,
हर पत्थर के दिल में बसती हैं उमंगें और गहरे।

कौन सुने इस पत्थर की पुकार को,
जिसने सदियों से झेला है वक्त की मार को।
","When stones spoke, the silence shattered,
Voices buried in rocks' chests erupted.

Echoes of ancient marks call out,
Stories resonate in the silence of these stones.

Water drops fall, waves rise with them,
In each stone’s heart dwell deep desires and dreams.

Who will listen to the cry of this stone,
Which has endured the blows of time for centuries?
",Hindi
"Madhur Madhur Mere Deepak Jal
","Sumitranandan Pant
","मधुर मधुर मेरे दीपक जल,
युग युग प्रतिपल प्रियतम प्रियतम जल।

धीर गम्भीर महक उर तम में,
शुभ्र स्वप्न सा गूढ़ नयन नम में।

अर्चित मेरे लघु जीवन में,
आलोक स्वर्गीय सजीव अवलंब में।

मधुर मधुर मेरे दीपक जल,
युग युग प्रतिपल प्रियतम प्रियतम जल।
","Burn gently, my lamp, burn on,
Through ages and moments, dear beloved, burn on.

In the serene, grave scent of my heart's darkness,
Like a dream pure, hidden in moist eyes' vastness.

In my small, dedicated life,
Heavenly light, alive in this divine reliance.

Burn gently, my lamp, burn on,
Through ages and moments, dear beloved, burn on.
",Hindi
"Peele Patton Ka Ban
","Gopal Das Neeraj
","पीले पत्तों का बन, वो सूनी राहें,
उदासी में लिपटी हुई मेरी बाहें।

जिन्हें जीवन समझे बैठे थे अब तक,
वो माटी के पुतले बने, बहा दें।

उदासी में घुलती ये शाम ढल रही,
ख़ामोशी में ढलती हुई ये राहें।

वो सब जो हमने थे समझे अब तक,
सिर्फ़ यादों में खो गए वो दिन सारे।
","The forest of yellow leaves, those lonely paths,
My arms wrapped in melancholy’s clasp.

What we thought was life until now,
Have turned to clay figurines, swept away somehow.

This evening dissolves into sadness as it fades,
These paths slip into silence's shades.

All that we understood till now,
Lost in the days, gone somehow.
",Hindi
"Mitti Ki Mahak
","Kunwar Narayan
","मिट्टी की महक, वो पहली बारिश का रंग,
जीवन के हर पल में बसी हुई उमंग।

जो धरती से जुड़ी है, वो अनमोल है,
सादगी में बसी, वो अनंत तोल है।

जीवन के हर पहलू को अपनाती है,
मिट्टी की महक, वो खुशबू लाती है।
","The fragrance of soil, the color of the first rain,
An enthusiasm embedded in every life’s grain.

That which is rooted in earth is beyond worth,
In simplicity dwells, a measureless mirth.

It embraces each facet of life’s tale,
The fragrance of soil, a scent that prevails.
",Hindi
"Aane Wala Kal
","Sahir Ludhianvi
","आने वाला कल कौन जाने,
कैसा होगा ये जमाना, कौन पहचाने।

वक्त के हाथों में हमारी तक़दीर है बंधी,
हर सपना, हर आशा उसी से है जुड़ी।

जो आएगा वो एक नया दिन लाएगा,
आने वाला कल, एक नई उम्मीद जगाएगा।
","Who knows what tomorrow brings,
What kind of world, what new things.

Our destiny is bound in time’s embrace,
Every dream, every hope, held in that space.

What arrives will usher in a new day,
The coming tomorrow, a new hope on its way.
",Hindi
"Samay
","Bhawani Prasad Mishra
","समय के हाथों में क्या नहीं है,
हर शख्स यहाँ इसका बंधी है।
वो चलता है तो सब कुछ बदलता है,
कभी हंसाता है, कभी रुलाता है।

रोक सको तो रोक लो इसको,
पर ये बहता जायेगा।
समय की धारा में हम सब,
बस बहते ही जायेंगे।
","What is not within time's hands?
Every person here is tied to its strands.
As it moves, everything changes in its way,
Sometimes it makes us laugh, sometimes we sway.

Stop it if you can, give it a try,
But it will keep flowing by.
In the stream of time, we all drift along,
Flowing ever onward, weak or strong.
",Hindi
Kafan,"Munshi Premchand
","कफन

कफन के लिए, क्या-क्या नहीं किया जाता?
जैसे ही मृत शरीर को लाया जाता है,
सबसे पहले जो काम होता है,
कफन खरीदना होता है।

आसपास के लोग मुँह चिढ़ाते हैं,
कफन के लिए झगड़ते हैं,
लेकिन किसे परवाह है,
उसकी आत्मा की स्थिति क्या है।

मरा हुआ व्यक्ति नहीं कह सकता,
क्योंकि वह अब खुद नहीं रहा,
पर कफन की व्यवस्था करने में,
किसी का नाम ले लिया जाता है।
","The Shroud

For the shroud, what all is done?
As soon as the dead body is brought,
The first task is to buy the shroud,
That’s the custom, it is sought.

People around sneer and jest,
Quarreling for the shroud is a test,
But who cares about the state,
Of the soul that has met its fate?

The dead cannot speak,
For he is no longer there,
But in arranging for the shroud,
Someone’s name is in the air.
",Hindi
"Desh Ki Mitti
","Ramdhari Singh Dinkar
","देश की मिट्टी

मैं जानता हूँ, यह देश की मिट्टी है,
इसमें घुला हुआ है, हर एक वीर का खून।
यहाँ की हर बूंद में, बसी है एक कहानी,
किसने दी थी कुर्बानी, किसने लिखा था साजिशों का दस्तूर।

इस मिट्टी ने देखी हैं,
सतयुग से लेकर कलियुग तक की बुराइयाँ।
इसने देखी हैं खुशियाँ, और ग़म भी,
हर एक पल में बसी हैं इसकी संतानें।

इसकी गंध में बसता है इतिहास,
और इसकी छांव में खेलते हैं बच्चे।
यहाँ की मिट्टी में है एक जादू,
जो हर दर्द को सहती है, हर आँसू को समेटती है।

इसकी आंचल में है वो शक्ति,
जो देती है हर एक जीवन को नई राह।
यह देश की मिट्टी है,
जिसकी हर एक कण में है हमारा अहंकार।
","The Soil of the Nation

I know, this is the soil of the nation,
In it is mixed the blood of every brave man.
Every drop here tells a tale,
Of sacrifices made, and the conspiracies planned.

This soil has witnessed,
The evils from Satya Yuga to Kali Yuga.
It has seen joys and sorrows too,
In every moment, its offspring reside.

Its scent carries history,
And in its shade, children play.
In this soil lies a magic,
That bears every pain, gathering every tear.

In its embrace is the strength,
That gives every life a new way.
This is the soil of the nation,
In every particle resides our pride.
",Hindi
